母婴保健技术服务执业许可,区卫生和计划生育局,xls.txt.csv.xml.json,59次,母婴保健技术服务执业许可,医疗健康>计生机构,2014-08-01,2017-04-14
街头采血点(屋),区卫生和计划生育局,xls.txt.csv.xml.json,33次,街头采血点(屋),医疗健康>医疗机构,2017-04-14,2017-04-14
非营利性民营医疗机构,区卫生和计划生育局,xls.txt.csv.xml.json,170次,非营利性民营医疗机构,医疗健康>医疗机构,2014-08-01,2017-04-14
基层法律服务所信息,区司法局,xls.txt.csv.xml.json,113次,基层法律服务所信息,社会保障>司法服务,2014-07-31,2017-04-14
法律援助工作站,区司法局,xls.txt.csv.xml.json,72次,法律援助工作站,社会保障>司法服务,2014-07-31,2017-04-14
司法所,区司法局,xls.txt.csv.xml.json,134次,司法所,政府机构与社会团体>政府机构及相关单位,2014-07-31,2017-04-14
公证处,区司法局,xls.txt.csv.xml.json,157次,公证处,社会保障>司法服务,2014-07-01,2017-04-14
律师事务所,区司法局,xls.txt.csv.xml.json,91次,律师事务所,企业服务>中介服务,2014-07-01,2017-04-14
内资企业注销公告数据,区市场监督管理局（工商）,xls.txt.csv.xml.json,17次,内资企业注销公告数据,企业服务>内资企业服务,2017-04-14,2017-04-14
外资企业注销公告数据,区市场监督管理局（工商）,xls.txt.csv.xml.json,14次,外资企业注销公告数据,企业服务>外资企业服务,2017-04-14,2017-04-14
内资企业设立登记公告数据,区市场监督管理局（工商）,xls.txt.csv.xml.json,25次,内资企业设立登记公告数据,企业服务>内资企业服务,2017-04-14,2017-04-14
外资企业设立公告数据,区市场监督管理局（工商）,xls.txt.csv.xml.json,15次,外资企业设立公告数据,企业服务>外资企业服务,2017-04-14,2017-04-14
美容美发,区市场监督管理局（工商）,xls.txt.csv.xml.json,134次,美容美发,生活服务>日常生活,2014-07-25,2017-04-14
消费维权点分布数据,区市场监督管理局（工商）,xls.txt.csv.xml.json,120次,消费维权点分布数据,消费购物>消费保障,2014-07-22,2017-04-14
超市,区市场监督管理局（工商）,xls.txt.csv.xml.json,383次,超市,生活服务>日常生活,2014-07-24,2017-04-14
菜市场,区市场监督管理局（工商）,xls.txt.csv.xml.json,177次,菜市场,生活服务>日常生活,2014-07-24,2017-04-14
驰名著名商标信息,区市场监督管理局（工商）,xls.txt.csv.xml.json,130次,驰名著名商标信息,企业服务>驰名商标,2014-08-05,2017-04-14
全区工商行政管理机关和工商所分布数据,区市场监督管理局（工商）,xls.txt.csv.xml.json,191次,全区工商行政管理机关和工商所分布数据,政府机构与社会团体>政府机构及相关单位,2014-07-25,2017-04-14
食品流通企业,区食品药品监督管理局,xls.txt.csv.xml.json,135次,食品流通企业,餐饮美食>加工流通企业,2014-07-31,2017-04-14
餐饮服务单位,区食品药品监督管理局,xls.txt.csv.xml.json,203次,餐饮服务单位,餐饮美食>餐饮场所,2014-07-08,2017-04-14
化妆品经营企业,区食品药品监督管理局,xls.txt.csv.xml.json,149次,化妆品经营企业,医疗健康>医药保健,2014-07-01,2017-04-14
医疗器械经营企业,区食品药品监督管理局,xls.txt.csv.xml.json,182次,医疗器械经营企业,医疗健康>医疗器械,2014-07-31,2017-04-14
经营农产品市场超市信息,区食品药品监督管理局,xls.txt.csv.xml.json,159次,经营农产品市场超市信息,消费购物>商业网点,2014-07-31,2017-04-14
南海保健食品化妆品生产企业,区食品药品监督管理局,xls.txt.csv.xml.json,128次,南海保健食品化妆品生产企业,医疗健康>医药保健,2014-07-01,2017-04-14
医疗器械生产企业,区食品药品监督管理局,xls.txt.csv.xml.json,136次,医疗器械生产企业,医疗健康>医疗器械,2014-07-01,2017-04-14
食品生产加工企业,区食品药品监督管理局,xls.txt.csv.xml.json,201次,食品生产加工企业,餐饮美食>加工流通企业,2014-07-01,2017-04-14
保健食品经营企业,区食品药品监督管理局,xls.txt.csv.xml.json,90次,保健食品经营企业,医疗健康>医药保健,2014-07-01,2017-04-14
医疗器械批发企业,区食品药品监督管理局,xls.txt.csv.xml.json,149次,医疗器械批发企业,医疗健康>医疗器械,2014-07-01,2017-04-14
社会政策观测站,区社会工作委员会,xls.txt.csv.xml.json,90次,社会政策观测站,文体娱乐>公益活动,2014-07-02,2017-04-14
药店,区食品药品监督管理局,xls.txt.csv.xml.json,361次,药店,医疗健康>医药保健,2014-07-01,2017-04-14
南海社会创益园,区社会工作委员会,xls.txt.csv.xml.json,93次,南海社会创益园,文体娱乐>公益活动,2014-07-01,2017-04-14
创益中心,区社会工作委员会,xls.txt.csv.xml.json,124次,创益中心,文体娱乐>公益活动,2014-07-02,2017-04-14
社保分局服务窗口,区人力资源和社会保障局（含区社会保险基金管理局）,xls.txt.csv.xml.json,100次,社保分局服务窗口,政府机构与社会团体>政府机构及相关单位,2014-07-08,2017-04-14
技工学校,区人力资源和社会保障局（含区社会保险基金管理局）,xls.txt.csv.xml.json,182次,技工学校,教育科研>教育机构,2014-07-10,2017-04-14
民办职业培训学校,区人力资源和社会保障局（含区社会保险基金管理局）,xls.txt.csv.xml.json,103次,民办职业培训学校,劳动就业>职业技能,2014-07-10,2017-04-14
农机产品质量投诉机构,区农林渔业局,xls.txt.csv.xml.json,103次,农机产品质量投诉机构,农业农村>农村建设,2014-07-31,2017-04-14
林木种苗基地,区农林渔业局,xls.txt.csv.xml.json,150次,林木种苗基地,农业农村>农村建设,2014-07-31,2017-04-14
定点屠宰企业名单,区农林渔业局,xls.txt.csv.xml.json,141次,定点屠宰企业名单,餐饮美食>食品安全,2014-07-31,2017-04-14
优美百村,区农林渔业局,xls.txt.csv.xml.json,153次,优美百村,农业农村>农村建设,2014-07-31,2017-04-14
农业技术系列高级专业技术资格通过人员名单,区农林渔业局,xls.txt.csv.xml.json,89次,农业技术系列高级专业技术资格通过人员名单,农业农村>劳动就业,2014-08-08,2017-04-14
农业技术推广奖获奖清单,区农林渔业局,xls.txt.csv.xml.json,89次,农业技术推广奖获奖清单,农业农村>农村建设,2014-07-31,2017-04-14
工程技术系列(林业、水产、农机)高级专业技术资格通过人员名单,区农林渔业局,xls.txt.csv.xml.json,41次,工程技术系列(林业、水产、农机)高级专业技术资格通过人员名单,农业农村>劳动就业,2017-04-14,2017-04-14
农林技术推广机构,区农林渔业局,xls.txt.csv.xml.json,111次,农林技术推广机构,农业农村>农村建设,2014-07-31,2017-04-14
科学技术进步奖,区农林渔业局,xls.txt.csv.xml.json,132次,科学技术进步奖,农业农村>农村建设,2014-07-31,2017-04-14
社会福利机构基本信息,区民政局,xls.txt.csv.xml.json,124次,社会福利机构基本信息,政府机构与社会团体>社会团体,2014-07-30,2017-04-14
福利彩票售卖点,区民政局,xls.txt.csv.xml.json,56次,福利彩票售卖点,生活服务>日常生活,2014-07-08,2017-04-14
单位基本信息,区民政局,xls.txt.csv.xml.json,42次,单位基本信息,政府机构与社会团体>政府机构及相关单位,2017-04-14,2017-04-14
敬老院,区民政局,xls.txt.csv.xml.json,154次,敬老院,社会保障>养老服务,2014-07-08,2017-04-14
政府机构及相关单位（民政）,区民政局,xls.txt.csv.xml.json,79次,政府机构及相关单位（民政）,政府机构与社会团体>政府机构及相关单位,2014-07-30,2017-04-14
日间照料室,区民政局,xls.txt.csv.xml.json,147次,日间照料室,社会保障>养老服务,2014-07-30,2017-04-14
社区服务中心,区民政局,xls.txt.csv.xml.json,164次,社区服务中心,生活服务>生活设施,2014-07-30,2017-04-14
地名公告信息,区民政局,xls.txt.csv.xml.json,161次,地名公告信息,城市建设>地名服务,2014-07-29,2017-04-14
村(居)民委员会,区民政局,xls.txt.csv.xml.json,44次,村(居)民委员会,政府机构与社会团体>政府机构及相关单位,2017-04-14,2017-04-14
慈善组织,区民政局,xls.txt.csv.xml.json,114次,慈善组织,社会保障>公益慈善,2014-07-29,2017-04-14
社会团体基本信息,区民政局,xls.txt.csv.xml.json,135次,社会团体基本信息,政府机构与社会团体>社会团体,2014-07-30,2017-04-14
婚姻收养登记机关,区民政局,xls.txt.csv.xml.json,194次,婚姻收养登记机关,生活服务>家庭生活,2014-07-07,2017-04-14
社团机构、行业协会,区民政局,xls.txt.csv.xml.json,109次,社团机构、行业协会,政府机构与社会团体>社会团体,2014-07-01,2017-04-14
慈善(爱心)超市,区民政局,xls.txt.csv.xml.json,17次,慈善(爱心)超市,社会保障>公益慈善,2017-04-14,2017-04-14
残疾人工疗网络,区民政局,xls.txt.csv.xml.json,80次,残疾人工疗网络,社会保障>公益慈善,2014-08-07,2017-04-14
养老服务机构,区民政局,xls.txt.csv.xml.json,102次,养老服务机构,社会保障>养老服务,2014-07-30,2017-04-14
民办非企业单位基本信息,区民政局,xls.txt.csv.xml.json,155次,民办非企业单位基本信息,政府机构与社会团体>社会团体,2014-07-30,2017-04-14
社区学院,区民政局,xls.txt.csv.xml.json,145次,社区学院,教育科研>培训机构,2014-07-30,2017-04-14
社会团体年检信息,区民政局,xls.txt.csv.xml.json,25次,社会团体年检信息,政府机构与社会团体>社会团体,2017-04-14,2017-04-14
公墓陵园,区民政局,xls.txt.csv.xml.json,137次,公墓陵园,生活服务>家庭生活,2014-07-07,2017-04-14
