广东省拍卖企业年度核查情况,经济建设,年度,拍卖、合格企业、限期整改企业、未申报企业、注销企业,全省,2017-12-15,2017-12-15,101,129,完全开放
广东省外经贸运行监测点名单,经济建设,年度,外经贸运行,全省,2017-12-15,2017-12-18,23,165,完全开放
广东省建设行业资信证书（工程监理）,城市建设,月度,城乡建设、资信、工程监理,全省,2017-12-12,2017-12-12,46,529,完全开放
广东省建设行业资信证书（工程招标代理）,城市建设,月度,城乡建设、资信、招标代理,全省,2017-12-12,2017-12-12,37,489,完全开放
广东省建设行业资信证书（工程造价咨询）,城市建设,月度,城乡建设、资信、工程造价,全省,2017-12-12,2017-12-12,28,442,完全开放
广东省有线电视工程设计（安装）许可证,文化休闲,不定时更新,广东省有线电视工程设计（安装）许可证,全省,2017-11-23,2017-12-15,0,142,完全开放
广播电视节目制作经营许可证,文化休闲,不定时更新,广播电视节目制作经营许可证,全省,2017-11-23,2017-12-15,0,147,完全开放
出版物经营许可证,文化休闲,不定时更新,出版物经营许可证,全省,2017-11-23,2017-12-15,0,120,完全开放
中华人民共和国图书出版许可证公示内容登记公告,文化休闲,不定时更新,图书出版许可证,全省,2017-11-23,2017-12-15,0,106,完全开放
复制经营许可证登记公告,文化休闲,不定时更新,复制经营许可证,全省,2017-11-23,2017-12-15,0,102,完全开放
记者站登记证登记公告,文化休闲,不定时更新,记者站,全省,2017-11-23,2017-12-15,0,110,完全开放
中华人民共和国音像制品出版许可证公示内容登记公告,文化休闲,不定时更新,音像制品出版许可证,全省,2017-11-23,2017-12-15,0,113,完全开放
广东省连续性内部资料出版物准印证公示内容登记公告,文化休闲,不定时更新,连续性内部资料出版物准印证,全省,2017-11-23,2017-12-15,0,112,完全开放
中华人民共和国电子出版物出版许可证登记公告,文化休闲,不定时更新,电子出版物出版许可证,全省,2017-11-23,2017-12-15,0,109,完全开放
中华人民共和国报纸出版许可证登记公告,文化休闲,不定时更新,报纸出版许可证,全省,2017-11-23,2017-12-15,0,107,完全开放
中华人民共和国期刊出版许可证登记公告,文化休闲,不定时更新,期刊出版许可证,全省,2017-11-23,2017-12-15,0,74,完全开放
互联网出版许可证公示内容登记公告,文化休闲,不定时更新,互联网出版许可证,全省,2017-11-23,2017-12-15,0,67,完全开放
广东省侨刊乡讯登记公告,文化休闲,不定时更新,侨刊乡讯,全省,2017-11-23,2017-12-15,0,70,完全开放
广东省政府集中采购目录及采购限额标准,经济建设,不定时更新,政府集中采购目录、采购限额标准,全省,2017-11-15,2017-11-21,221,612,完全开放
广东省政府性基金目录清单,经济建设,不定时更新,政府性基金目录、资金管理方式,全省,2017-11-15,2017-11-21,100,408,完全开放
广东省各市一般公共预算收支情况,经济建设,不定时更新,一般公共预算收入.一般公共预算支出,全省,2017-11-14,2017-11-21,617,453,完全开放
广东省各旅游住宿设施床位情况,社会发展,年度,旅游住宿设施，床位，广东省,广东省,2017-11-07,2017-11-07,120,533,完全开放
广东省各星级宾馆分布情况,社会发展,年度,星级宾馆，分布，广东省,广东省,2017-11-07,2017-11-07,186,564,完全开放
广东省各大旅行社构成,社会发展,年度,旅行社，构成，广东省,广东省,2017-11-07,2017-11-07,197,454,完全开放
广东省各旅行社组团出境游人数,社会发展,年度,旅行社，组团，出境游人数，广东省,广东省,2017-11-07,2017-11-07,156,464,完全开放
广东省各旅行社组团国内旅游人数,社会发展,年度,旅行社，组团，国内旅游人数，广东省,广东省,2017-11-07,2017-11-07,138,431,完全开放
广东省接待过夜主要国家旅游者人数,社会发展,年度,过夜主要国家，旅游者人数.广东省,广东省,2017-11-07,2017-11-07,124,350,完全开放
广东省旅游入境人数统计信息,社会发展,年度,旅游，入境，人数，广东省,广东省,2017-11-07,2017-11-07,191,856,完全开放
广东省旅行社组团历年接待人数,社会发展,年度,旅行社，组团，历年接待人数，广东省,广东省,2017-11-07,2017-11-07,144,650,完全开放
广东省旅游住宿设施接待过夜游客情况,社会发展,月度,过夜旅游者，人数，广东省,广东省,2017-11-07,2017-11-16,810,893,完全开放
广东省历年旅游业收入一览表,社会发展,年度,旅游业，历年收入，广东省,广东省,2017-11-07,2017-11-07,383,996,完全开放
广东省旅游景点构成情况,社会发展,年度,旅游景点，构成，广东省,广东省,2017-10-30,2017-11-07,300,885,完全开放
广东省各市接待过夜旅游者人数,社会发展,年度,过夜旅游者，人数，广东省,广东省,2017-10-30,2017-11-07,186,781,完全开放
广东省各市国际旅游(外汇)收入,社会发展,年度,国际旅游，(外汇)收入，广东省,广东省,2017-10-30,2017-11-07,155,727,完全开放
广东省各市旅游业收入情况,社会发展,年度,旅游业收入，广东省,广东省,2017-10-30,2017-11-07,280,867,完全开放
科技学术专著立项信息,教育科技,年度,科技、学术专著、立项,全省,2017-10-30,2017-10-30,76,307,完全开放
重点实验室建设立项信息,教育科技,年度,重点实验室、立项,全省,2017-10-30,2017-10-30,63,268,完全开放
产业技术创新联盟建设示范立项信息,教育科技,年度,产业技术创新联盟、立项,全省,2017-10-30,2017-10-30,56,232,完全开放
院士工作站建设立项信息,教育科技,年度,两院院士、省院合作、产学研合作平台、立项,全省,2017-10-24,2017-10-24,68,258,完全开放
科技基础条件研究和平台建设立项信息,教育科技,年度,科技基础条件研究和平台、立项,全省,2017-10-24,2017-10-24,56,215,完全开放
产学研协同创新成果转化项目立项信息,教育科技,年度,产学研协同、创新成果转化、立项,全省,2017-10-24,2017-10-24,71,225,完全开放
企业科技特派员工作站立项信息,教育科技,年度,企业科技特派员、工作站、立项,全省,2017-10-24,2017-10-24,41,185,完全开放
省级工程技术研究中心建设立项信息,教育科技,年度,工程技术研究开发中心、平台建设、立项,全省,2017-10-24,2017-10-24,53,190,完全开放
新型研发机构建设立项信息,教育科技,年度,新型研发机构、新型科研组织、立项,全省,2017-10-24,2017-10-24,57,185,完全开放
专业镇产业升级示范建设立项信息,教育科技,年度,专业镇、特色升级、立项,全省,2017-10-24,2017-10-24,54,190,完全开放
广东省工程技术研究中心名单,教育科技,年度,工程技术研究开发中心、平台建设,全省,2017-10-24,2017-10-24,52,150,完全开放
产业技术创新联盟名单,教育科技,年度,产业链、联盟、平台,全省,2017-10-24,2017-10-24,41,126,完全开放
广东省企业研究开发省级财政补助信息,教育科技,年度,企业研究开发、省级财政补助、立项,全省,2017-10-24,2017-10-24,329,147,完全开放
